X,Y,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,wptx1_Wayp,layer,path
44.172711,-20.780119,67.552207999999993,2019/02/04 10:59:01.000,,,004,CT 7 M34,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-FEB-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-FEB-19.gpx|layername=waypoints
44.169041,-20.78451,58.229939000000002,2019/03/04 10:53:08.000,,,2 030203,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.170328,-20.784597,63.309165999999998,2019/03/04 11:00:36.000,,,2 030202,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.171072,-20.784159,59.184688999999999,2019/03/04 11:11:05.000,,,2 030201,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.170834,-20.783465,58.905780999999998,2019/03/04 11:23:52.000,,,2 020704,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.170757,-20.783612,61.450836000000002,2019/03/04 11:27:14.000,,,2 012101,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.171246,-20.783505,46.157271999999999,2019/03/04 11:36:53.000,,,2 011301,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.171616,-20.783273,48.387000999999998,2019/03/04 11:40:42.000,,,2 011305,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.171555,-20.78328,56.815745999999997,2019/03/04 11:48:08.000,,,2 011303,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.171569,-20.783302,59.909194999999997,2019/03/04 11:48:16.000,,,2 011304,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.171699,-20.783115,59.385967000000001,2019/03/04 11:50:26.000,,,2 020701,,,,,,,,,,"Flag, Blue",,,,,,,,,,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.17185,-20.783062,57.917808999999998,2019/03/04 11:59:34.000,,,3 011801,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.171951,-20.78367,47.373756000000000,2019/03/04 12:09:03.000,,,2 021803,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.173064,-20.783498,53.114860999999998,2019/03/04 12:14:59.000,,,3 011802,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
44.173174,-20.78352,58.389941999999998,2019/03/04 12:19:20.000,,,3 011803,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_04-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_04-MAR-19.gpx|layername=waypoints
